CONC;SIG
0;0.003
0;-0.001
0;0.002
0.2;0.004
0.2;0.005
0.2;0.005
0.5;0.011
0.5;0.011
0.5;0.012
1;0.023
1;0.023
1;0.023
2;0.048
2;0.047
2;0.048
3;0.071
3;0.072
3;0.072
